GAME,WEEK,DATE,DAY,AWAY,HOME,LOCAL,ET
1,1,Friday,2-Dec-22,PHI,HFX,7:00 PM,6:00 PM
2,1,Saturday,3-Dec-22,VAN,TOR,5:00 PM,5:00 PM
3,1,Saturday,3-Dec-22,ALB,BUF,7:30 PM,7:30 PM
4,1,Saturday,3-Dec-22,SD,NY,7:30 PM,7:30 PM
5,1,Saturday,3-Dec-22,ROC,GA,8:00 PM,8:00 PM
6,1,Saturday,3-Dec-22,COL,SAS,7:30 PM,8:30 PM
7,2,Friday,9-Dec-22,LV,PC,7:30 PM,8:30 PM
8,2,Friday,9-Dec-22,SAS,SD,7:00 PM,10:00 PM
9,2,Saturday,10-Dec-22,TOR,ROC,7:00 PM,7:00 PM
10,2,Saturday,10-Dec-22,VAN,CGY,7:30 PM,9:30 PM
11,3,Friday,16-Dec-22,PC,LV,7:30 PM,10:30 PM
12,3,Friday,16-Dec-22,CGY,VAN,7:00 PM,10:00 PM
13,3,Saturday,17-Dec-22,ROC,ALB,7:00 PM,7:00 PM
14,3,Saturday,17-Dec-22,BUF,TOR,7:00 PM,7:00 PM
15,3,Saturday,17-Dec-22,PHI,GA,7:00 PM,7:00 PM
16,3,Saturday,17-Dec-22,HFX,NY,7:30 PM,7:30 PM
17,3,Saturday,17-Dec-22,COL,PC,7:00 PM,8:00 PM
18,5,Friday,30-Dec-22,SD,CGY,7:00 PM,9:00 PM
19,5,Friday,30-Dec-22,HFX,BUF,7:30 PM,7:30 PM
20,5,Saturday,31-Dec-22,PC,SAS,8:00 PM,9:00 PM
21,6,Friday,6-Jan-23,PHI,LV,7:30 PM,10:30 PM
22,6,Saturday,7-Jan-23,PC,ROC,7:00 PM,7:00 PM
23,6,Saturday,7-Jan-23,BUF,GA,7:00 PM,7:00 PM
24,6,Saturday,7-Jan-23,HFX,ALB,7:00 PM,7:00 PM
25,6,Saturday,7-Jan-23,TOR,NY,7:30 PM,7:30 PM
26,6,Saturday,7-Jan-23,CGY,COL,8:00 PM,10:00 PM
27,6,Saturday,7-Jan-23,VAN,SD,7:00 PM,10:00 PM
28,7,Friday,13-Jan-23,ALB,HFX,7:30 PM,6:30 PM
29,7,Friday,13-Jan-23,SAS,COL,7:00 PM,9:00 PM
30,7,Saturday,14-Jan-23,HFX,TOR,7:00 PM,7:00 PM
31,7,Saturday,14-Jan-23,PC,PHI,7:00 PM,7:00 PM
32,7,Saturday,14-Jan-23,GA,BUF,7:30 PM,7:30 PM
33,7,Saturday,14-Jan-23,LV,VAN,7:00 PM,10:00 PM
34,7,Saturday,14-Jan-23,SD,CGY,7:00 PM,9:00 PM
